49.85.6.102	47251
222.85.50.51	28847
123.152.158.78	8118
110.73.48.50	8123
183.63.101.62	53281
223.241.79.71	8010
115.210.176.2	808
114.230.125.154	45127
114.239.144.222	808
223.241.78.173	8010
118.254.155.66	3128
223.241.116.60	8010
113.221.46.0	8888
61.150.113.34	63000
110.72.44.252	8123
60.167.133.14	808
115.237.235.29	3128
110.73.33.42	8123
115.46.97.200	8123
182.108.37.233	8118
121.31.100.46	8123
223.241.79.83	8010
223.241.118.119	8010
182.88.135.112	8123
115.150.114.42	8080
182.88.166.255	8123
223.241.118.78	8010
182.42.37.46	808
117.64.234.7	808
180.118.242.159	808
182.88.162.94	8123
223.241.119.105	8010
221.233.85.50	3128
49.85.12.150	27011
113.121.241.195	23473
123.185.128.239	8118
110.84.177.167	8118
59.51.122.81	3128
125.112.199.194	38248
120.32.138.40	46611
110.84.177.167	8118
223.241.118.248	8010
223.241.117.109	8010
110.73.2.173	8123
183.144.204.132	3128
223.241.79.173	8010
220.161.119.91	808
223.241.119.87	8010
121.239.201.188	21540
220.161.119.91	808
223.241.117.154	8010
115.210.45.199	808
220.162.155.4	32838
111.192.182.150	8118
110.73.49.76	8123
223.241.118.93	8010
110.216.18.133	80
202.112.180.58	808
223.241.78.226	8010
171.39.31.215	8123
221.233.85.251	3128
171.113.111.112	808
49.82.247.81	44636
223.241.79.13	8010
223.241.119.141	8010
60.167.133.245	27749
101.236.62.215	8080
110.73.49.82	8123
118.254.149.70	3128
123.118.3.0	8118
113.221.45.133	8888
117.27.111.145	34874
223.241.79.60	8010
123.185.129.139	8118
120.39.118.59	27697
223.241.119.26	8010
115.213.248.144	35496
223.241.79.162	8010
36.25.110.103	35050
223.241.117.24	8010
115.46.97.73	8123
180.106.16.132	8118
49.72.4.152	28198
223.241.116.133	8010
114.239.0.175	808
27.159.138.183	33502
115.202.225.14	38273
114.250.98.246	8118
223.241.117.202	8010
223.241.118.186	8010
122.242.95.109	36316
223.241.117.48	8010
115.202.67.186	29472
223.241.118.101	8010
223.241.118.110	8010
123.54.232.145	44719
223.241.117.172	8010
221.198.105.10	8118
120.33.247.73	26564
110.73.40.66	8123
